============================================================
矿机运行日志 - 10.102.1.7
导出时间: 2026-03-19 21:49:27
IP: 10.102.1.7  序列号: MINER-10-102-1-7  型号: Antminer S19 XP
============================================================

[2026-03-19 21:49:27] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
========== errors（错误） ==========
2026-03-17T12:38:16.461265Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T13:08:10.023242Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 31.0°C / outlet 48.5°C
2026-03-17T13:08:10.024281Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T13:08:21.150572Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T13:15:13.704967Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T13:15:13.735521Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T13:15:13.735903Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T13:38:21.292957Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 31.5°C / outlet 49.0°C
2026-03-17T13:38:21.293704Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T13:38:22.857197Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T13:38:22.879704Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T13:38:22.880720Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T13:38:31.302576Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T14:08:31.372805Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 32.0°C / outlet 49.0°C
2026-03-17T14:08:31.373626Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T14:08:42.831733Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T14:15:17.136686Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T14:15:17.157846Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T14:15:17.158306Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T14:38:29.289046Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T14:38:29.311615Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T14:38:29.311912Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T14:38:38.127792Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0040, expected 0x0044)
2026-03-17T14:38:43.250011Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 33.0°C / outlet 49.0°C
2026-03-17T14:38:43.251081Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T14:38:54.449074Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T14:59:53.591721Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x004e, expected 0x0044)
2026-03-17T15:02:06.810660Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x003e, expected 0x0044)
2026-03-17T15:08:55.188204Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 33.5°C / outlet 49.5°C
2026-03-17T15:08:55.188999Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T15:09:05.199020Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T15:15:20.613286Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T15:15:20.646192Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T15:15:20.646708Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T15:15:27.940759Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0041, expected 0x0044)
2026-03-17T15:38:35.769979Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T15:38:35.792690Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T15:38:35.793050Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T15:39:05.699578Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 34.0°C / outlet 49.5°C
2026-03-17T15:39:05.700295Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T15:39:15.710831Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T16:05:48.717690Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0011, expected 0x0044)
2026-03-17T16:09:16.153262Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 34.5°C / outlet 50.0°C
2026-03-17T16:09:16.154102Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T16:09:26.163196Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T16:15:23.958485Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T16:15:23.980522Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T16:15:23.981002Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T16:38:42.135832Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T16:38:42.161801Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T16:38:42.161992Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
