============================================================
矿机运行日志 - 10.102.0.151
导出时间: 2026-03-19 21:46:51
IP: 10.102.0.151  序列号: MINER-10-102-0-151  型号: Antminer S19 XP
============================================================

[2026-03-19 21:46:51] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
========== errors（错误） ==========
2026-03-17T13:39:24.645739Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T13:40:32.906614Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 28.5°C / outlet 49.0°C
2026-03-17T13:40:32.907476Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T13:40:52.145832Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T14:10:52.922711Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 29.5°C / outlet 49.5°C
2026-03-17T14:10:52.923572Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T14:11:11.562986Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T14:14:44.833623Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T14:14:44.850280Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T14:14:44.850473Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T14:22:25.941846Z  INFO bosminer::client::stratum_v2: log_message="Stratum: rejected solution #2320 with nonce=1e75e194!"
2026-03-17T14:39:31.156846Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T14:39:31.173809Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
